symbol,date,time,price
AAPL,2024-01-15,09:30,184.66
AAPL,2024-01-15,10:00,183.64
AAPL,2024-01-15,10:30,183.01
AAPL,2024-01-15,11:00,182.72
AAPL,2024-01-15,11:30,183.40
AAPL,2024-01-15,12:00,183.25
AAPL,2024-01-15,12:30,182.26
AAPL,2024-01-15,13:00,181.90
AAPL,2024-01-15,13:30,180.11
AAPL,2024-01-15,14:00,180.41
AAPL,2024-01-15,14:30,180.95
AAPL,2024-01-15,15:00,181.77
AAPL,2024-01-15,15:30,181.98
AAPL,2024-01-15,16:00,182.59
AAPL,2024-01-16,09:30,183.01
AAPL,2024-01-16,10:00,182.22
AAPL,2024-01-16,10:30,183.55
AAPL,2024-01-16,11:00,183.06
AAPL,2024-01-16,11:30,182.50
AAPL,2024-01-16,12:00,182.18
AAPL,2024-01-16,12:30,182.45
AAPL,2024-01-16,13:00,182.63
AAPL,2024-01-16,13:30,182.39
AAPL,2024-01-16,14:00,181.73
AAPL,2024-01-16,14:30,181.56
AAPL,2024-01-16,15:00,181.74
AAPL,2024-01-16,15:30,181.57
AAPL,2024-01-16,16:00,181.69
AAPL,2024-01-17,09:30,181.10
AAPL,2024-01-17,10:00,181.53
AAPL,2024-01-17,10:30,181.30
AAPL,2024-01-17,11:00,181.26
AAPL,2024-01-17,11:30,181.46
AAPL,2024-01-17,12:00,181.73
AAPL,2024-01-17,12:30,182.85
AAPL,2024-01-17,13:00,183.36
AAPL,2024-01-17,13:30,182.73
AAPL,2024-01-17,14:00,182.07
AAPL,2024-01-17,14:30,181.96
AAPL,2024-01-17,15:00,181.15
AAPL,2024-01-17,15:30,181.04
AAPL,2024-01-17,16:00,181.09
AAPL,2024-01-18,09:30,181.59
AAPL,2024-01-18,10:00,181.41
AAPL,2024-01-18,10:30,181.72
AAPL,2024-01-18,11:00,180.55
AAPL,2024-01-18,11:30,180.78
AAPL,2024-01-18,12:00,180.84
AAPL,2024-01-18,12:30,180.70
AAPL,2024-01-18,13:00,179.90
AAPL,2024-01-18,13:30,179.32
AAPL,2024-01-18,14:00,179.53
AAPL,2024-01-18,14:30,179.92
AAPL,2024-01-18,15:00,180.14
AAPL,2024-01-18,15:30,180.64
AAPL,2024-01-18,16:00,180.44
AAPL,2024-01-19,09:30,180.62
AAPL,2024-01-19,10:00,180.68
AAPL,2024-01-19,10:30,180.14
AAPL,2024-01-19,11:00,181.09
AAPL,2024-01-19,11:30,180.97
AAPL,2024-01-19,12:00,180.84
AAPL,2024-01-19,12:30,181.62
AAPL,2024-01-19,13:00,182.57
AAPL,2024-01-19,13:30,183.15
AAPL,2024-01-19,14:00,183.65
AAPL,2024-01-19,14:30,183.49
AAPL,2024-01-19,15:00,182.80
AAPL,2024-01-19,15:30,182.52
AAPL,2024-01-19,16:00,182.14
AAPL,2024-01-22,09:30,181.46
AAPL,2024-01-22,10:00,180.95
AAPL,2024-01-22,10:30,180.53
AAPL,2024-01-22,11:00,180.17
AAPL,2024-01-22,11:30,180.26
AAPL,2024-01-22,12:00,179.91
AAPL,2024-01-22,12:30,180.49
AAPL,2024-01-22,13:00,181.29
AAPL,2024-01-22,13:30,181.44
AAPL,2024-01-22,14:00,180.96
AAPL,2024-01-22,14:30,181.34
AAPL,2024-01-22,15:00,181.01
AAPL,2024-01-22,15:30,181.72
AAPL,2024-01-22,16:00,182.05
AAPL,2024-01-23,09:30,181.09
AAPL,2024-01-23,10:00,181.18
AAPL,2024-01-23,10:30,180.46
AAPL,2024-01-23,11:00,180.37
AAPL,2024-01-23,11:30,180.53
AAPL,2024-01-23,12:00,180.93
AAPL,2024-01-23,12:30,181.53
AAPL,2024-01-23,13:00,181.25
AAPL,2024-01-23,13:30,181.65
AAPL,2024-01-23,14:00,181.42
AAPL,2024-01-23,14:30,181.61
AAPL,2024-01-23,15:00,181.29
AAPL,2024-01-23,15:30,181.79
AAPL,2024-01-23,16:00,181.51
AAPL,2024-01-24,09:30,181.78
AAPL,2024-01-24,10:00,181.07
AAPL,2024-01-24,10:30,182.38
AAPL,2024-01-24,11:00,182.31
AAPL,2024-01-24,11:30,182.42
AAPL,2024-01-24,12:00,182.25
AAPL,2024-01-24,12:30,182.09
AAPL,2024-01-24,13:00,183.13
AAPL,2024-01-24,13:30,182.32
AAPL,2024-01-24,14:00,182.20
AAPL,2024-01-24,14:30,182.28
AAPL,2024-01-24,15:00,181.79
AAPL,2024-01-24,15:30,181.20
AAPL,2024-01-24,16:00,180.55
AAPL,2024-01-25,09:30,180.87
AAPL,2024-01-25,10:00,180.80
AAPL,2024-01-25,10:30,180.22
AAPL,2024-01-25,11:00,179.75
AAPL,2024-01-25,11:30,180.83
AAPL,2024-01-25,12:00,181.82
AAPL,2024-01-25,12:30,182.69
AAPL,2024-01-25,13:00,181.98
AAPL,2024-01-25,13:30,182.49
AAPL,2024-01-25,14:00,181.59
AAPL,2024-01-25,14:30,181.32
AAPL,2024-01-25,15:00,181.80
AAPL,2024-01-25,15:30,181.80
AAPL,2024-01-25,16:00,181.94
AAPL,2024-01-26,09:30,182.40
AAPL,2024-01-26,10:00,183.42
AAPL,2024-01-26,10:30,183.31
AAPL,2024-01-26,11:00,183.07
AAPL,2024-01-26,11:30,183.65
AAPL,2024-01-26,12:00,182.44
AAPL,2024-01-26,12:30,182.27
AAPL,2024-01-26,13:00,181.95
AAPL,2024-01-26,13:30,182.86
AAPL,2024-01-26,14:00,182.84
AAPL,2024-01-26,14:30,183.25
AAPL,2024-01-26,15:00,183.17
AAPL,2024-01-26,15:30,183.38
AAPL,2024-01-26,16:00,182.54
AAPL,2024-01-29,09:30,181.91
AAPL,2024-01-29,10:00,182.50
AAPL,2024-01-29,10:30,182.51
AAPL,2024-01-29,11:00,181.94
AAPL,2024-01-29,11:30,182.26
AAPL,2024-01-29,12:00,182.81
AAPL,2024-01-29,12:30,183.41
AAPL,2024-01-29,13:00,183.02
AAPL,2024-01-29,13:30,183.34
AAPL,2024-01-29,14:00,183.71
AAPL,2024-01-29,14:30,183.98
AAPL,2024-01-29,15:00,184.83
AAPL,2024-01-29,15:30,184.73
AAPL,2024-01-29,16:00,184.80
AAPL,2024-01-30,09:30,185.19
AAPL,2024-01-30,10:00,184.95
AAPL,2024-01-30,10:30,185.56
AAPL,2024-01-30,11:00,186.07
AAPL,2024-01-30,11:30,185.64
AAPL,2024-01-30,12:00,185.11
AAPL,2024-01-30,12:30,184.66
AAPL,2024-01-30,13:00,185.35
AAPL,2024-01-30,13:30,186.21
AAPL,2024-01-30,14:00,186.58
AAPL,2024-01-30,14:30,186.45
AAPL,2024-01-30,15:00,187.66
AAPL,2024-01-30,15:30,187.38
AAPL,2024-01-30,16:00,187.95
MSFT,2024-01-15,09:30,370.07
MSFT,2024-01-15,10:00,368.40
MSFT,2024-01-15,10:30,366.55
MSFT,2024-01-15,11:00,366.44
MSFT,2024-01-15,11:30,365.55
MSFT,2024-01-15,12:00,364.45
MSFT,2024-01-15,12:30,364.91
MSFT,2024-01-15,13:00,365.74
MSFT,2024-01-15,13:30,367.86
MSFT,2024-01-15,14:00,366.31
MSFT,2024-01-15,14:30,366.54
MSFT,2024-01-15,15:00,366.41
MSFT,2024-01-15,15:30,366.05
MSFT,2024-01-15,16:00,367.05
MSFT,2024-01-16,09:30,367.86
MSFT,2024-01-16,10:00,367.09
MSFT,2024-01-16,10:30,368.99
MSFT,2024-01-16,11:00,368.27
MSFT,2024-01-16,11:30,368.42
MSFT,2024-01-16,12:00,369.68
MSFT,2024-01-16,12:30,370.94
MSFT,2024-01-16,13:00,370.39
MSFT,2024-01-16,13:30,370.64
MSFT,2024-01-16,14:00,371.88
MSFT,2024-01-16,14:30,371.06
MSFT,2024-01-16,15:00,371.40
MSFT,2024-01-16,15:30,370.95
MSFT,2024-01-16,16:00,371.76
MSFT,2024-01-17,09:30,373.08
MSFT,2024-01-17,10:00,372.69
MSFT,2024-01-17,10:30,372.68
MSFT,2024-01-17,11:00,372.10
MSFT,2024-01-17,11:30,370.81
MSFT,2024-01-17,12:00,371.30
MSFT,2024-01-17,12:30,371.84
MSFT,2024-01-17,13:00,374.06
MSFT,2024-01-17,13:30,372.12
MSFT,2024-01-17,14:00,371.17
MSFT,2024-01-17,14:30,370.56
MSFT,2024-01-17,15:00,372.67
MSFT,2024-01-17,15:30,372.28
MSFT,2024-01-17,16:00,370.31
MSFT,2024-01-18,09:30,369.92
MSFT,2024-01-18,10:00,371.19
MSFT,2024-01-18,10:30,370.80
MSFT,2024-01-18,11:00,370.78
